Sample_ID,Analysis_Run,Sample_Type,Tree_Number,Depth,TIMESTAMP,del_O,del_D
JW__T6UP1,LGR22-5_JWA,Tracer,6,0,7/6/21 8:00,120,-79.2
JW__RETAP,LGR22-5_JWB,Tracer,1,NaN,7/16/21 9:30,-12.23089404,-88.00373956
JW__RE123,LGR22-5_JWB,Tracer,1,0,7/16/21 13:00,-14.95284075,348.8521963
JW__RE456,LGR22-5_JWB,Tracer,4,0,7/16/21 13:00,-14.9911789,367.1092834
JW__RETAP,LGR22-5_JWB,Tracer,2,NaN,7/16/21 9:30,-12.23089404,-88.00373956
JW__RE123,LGR22-5_JWB,Tracer,2,0,7/16/21 13:00,-14.95284075,348.8521963
JW__RETAP,LGR22-5_JWB,Tracer,3,NaN,7/16/21 9:30,-12.23089404,-88.00373956
JW__RE123,LGR22-5_JWB,Tracer,3,0,7/16/21 13:00,-14.95284075,348.8521963
JW__RETAP,LGR22-5_JWB,Tracer,4,NaN,7/16/21 9:30,-12.23089404,-88.00373956
JW__RE456,LGR22-5_JWB,Tracer,5,0,7/16/21 13:00,-14.9911789,367.1092834
JW__RETAP,LGR22-5_JWB,Tracer,5,NaN,7/16/21 9:30,-12.23089404,-88.00373956
JW__RETAP,LGR22-5_JWB,Tracer,6,NaN,7/16/21 9:30,-12.23089404,-88.00373956
JW__RE456,LGR22-5_JWB,Tracer,6,0,7/16/21 13:00,-14.9911789,367.1092834
JW__T2B0707,HD642/GB810,Transpiration,2,NaN,7/7/21 0:00,10.47,11.8
JW__T3B0707,HD642/GB810,Transpiration,3,NaN,7/7/21 0:00,10.82,3.9
JW__T4B0707,HD642/GB810,Transpiration,4,NaN,7/7/21 0:00,12.18,-27.6
JW__T5B0707,HD642/GB810,Transpiration,5,NaN,7/7/21 0:00,12.33,-43.6
JW__T6B0707,HD642/GB810,Transpiration,6,NaN,7/7/21 0:00,13.11,-36.9
JW__T1B0708,HD642/GB810,Transpiration,1,NaN,7/8/21 0:00,15.22,58.7
JW__T2B0708,HD642/GB810,Transpiration,2,NaN,7/8/21 0:00,15.02,67.4
JW__T3B0708,HD642/GB810,Transpiration,3,NaN,7/8/21 0:00,16.51,77.6
JW__T4B0708,HD642/GB810,Transpiration,4,NaN,7/8/21 0:00,15.72,79.8
